Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time;Price ($)
ORD355;Little Caesars;San Francisco, CA;13/10/2024 18:00;13/10/2024 18:30;30;Medium;Non-Veg;3;4;Medium;Cash;VERDADERO;VERDADERO;7,5;0,75;October;Offline;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
ORD381;Little Caesars;San Francisco, CA;08/11/2024 18:00;08/11/2024 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;November;Online;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
ORD407;Little Caesars;San Francisco, CA;04/12/2024 18:00;04/12/2024 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;December;Online;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
ORD443;Little Caesars;San Francisco, CA;30/12/2024 18:00;30/12/2024 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;December;Online;9,6;20,4;FALSO;6;2;18;28,84422111;11,6
ORD476;Papa John's;San Francisco, CA;01/02/2025 20:00;01/02/2025 20:35;35;Medium;Gluten-Free;3;5,5;Medium;Wallet;VERDADERO;VERDADERO;6,363636364;0,545454545;February;Online;13,2;21,8;VERDADERO;6;2;20;28,18627451;11,1
ORD678;Papa John's;San Francisco, CA;22/08/2025 18:15;22/08/2025 18:50;35;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;7;0,6;August;Online;12;23;VERDADERO;6;2;18;28,18627451;11,1
ORD682;Pizza Hut;Detroit, MI;26/08/2025 19:15;26/08/2025 19:45;30;Medium;Veg;2;4;Low;Wallet;VERDADERO;FALSO;7,5;0,5;August;Online;9,6;20,4;FALSO;4;1;19;29,94845361;9,9
ORD024;Pizza Hut;Phoenix, AZ;24/01/2024 18:15;24/01/2024 18:40;25;XL;Cheese Burst;5;4;Medium;Cash;VERDADERO;FALSO;6,25;1,25;January;Offline;9,6;15,4;FALSO;20;2;18;29,94845361;17,5
ORD049;Pizza Hut;Phoenix, AZ;19/02/2024 20:30;19/02/2024 20:55;25;XL;Cheese Burst;5;4,5;High;UPI;VERDADERO;FALSO;5,555555556;1,111111111;February;Online;10,8;14,2;FALSO;20;3;20;29,94845361;17,5
ORD069;Pizza Hut;Phoenix, AZ;10/03/2024 19:45;10/03/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;March;Online;10,8;14,2;FALSO;20;3;19;29,94845361;17,5
ORD089;Pizza Hut;Phoenix, AZ;30/03/2024 19:45;30/03/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;March;Online;10,8;14,2;FALSO;20;3;19;29,94845361;17,5
ORD099;Pizza Hut;Phoenix, AZ;09/04/2024 19:45;09/04/2024 20:10;25;XL;Cheese Burst;5;4;High;Wallet;VERDADERO;FALSO;6,25;1,25;April;Online;9,6;15,4;FALSO;20;3;19;29,94845361;17,5
ORD119;Pizza Hut;Phoenix, AZ;29/04/2024 19:45;29/04/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;FALSO;5,555555556;1,111111111;April;Online;10,8;14,2;FALSO;20;3;19;29,94845361;17,5
ORD199;Pizza Hut;Phoenix, AZ;14/07/2024 19:45;14/07/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;July;Online;10,8;14,2;FALSO;20;3;19;29,94845361;17,5
ORD219;Pizza Hut;Phoenix, AZ;03/08/2024 19:45;03/08/2024 20:10;25;XL;Cheese Burst;5;4,5;High;Wallet;VERDADERO;VERDADERO;5,555555556;1,111111111;August;Online;10,8;14,2;FALSO;20;3;19;29,94845361;17,5
ORD145;Marco's Pizza;Charlotte, NC;20/08/2024 20:15;20/08/2024 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;FALSO;5;0,444444444;August;Offline;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD326;Marco's Pizza;Charlotte, NC;14/09/2024 20:15;14/09/2024 21:00;45;Large;Veg;4;9;High;Wallet;VERDADERO;VERDADERO;5;0,444444444;September;Online;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD356;Marco's Pizza;Charlotte, NC;14/10/2024 20:15;14/10/2024 21:00;45;Large;Veg;4;9;High;Wallet;VERDADERO;FALSO;5;0,444444444;October;Online;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD382;Marco's Pizza;Charlotte, NC;09/11/2024 20:15;09/11/2024 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;VERDADERO;5;0,444444444;November;Offline;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD408;Marco's Pizza;Charlotte, NC;05/12/2024 20:15;05/12/2024 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;FALSO;5;0,444444444;December;Offline;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD444;Marco's Pizza;Charlotte, NC;31/12/2024 20:15;31/12/2024 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;FALSO;5;0,444444444;December;Offline;21,6;23,4;VERDADERO;12;3;20;30,28645833;13,7
ORD261;Domino's;Miami, FL;14/09/2024 19:00;14/09/2024 19:20;20;Medium;Non-Veg;3;3;Medium;Cash;VERDADERO;VERDADERO;6,666666667;1;September;Offline;7,2;12,8;FALSO;6;2;19;30,25943396;11,6
ORD543;Pizza Hut;Durham, NC;09/04/2025 18:30;09/04/2025 18:50;20;Small;Vegan;2;2;Low;UPI;VERDADERO;FALSO;10;1;April;Online;4,8;15,2;FALSO;2;1;18;29,94845361;7,7
ORD676;Domino's;Indianapolis, IN;20/08/2025 20:30;20/08/2025 21:00;30;Large;Sicilian;4;5,5;Medium;UPI;VERDADERO;FALSO;5,454545455;0,727272727;August;Online;13,2;16,8;FALSO;12;2;20;30,25943396;14,2
ORD493;Domino's;Atlanta, GA;18/02/2025 19:00;18/02/2025 19:50;50;Large;Non-Veg;4;10;High;Card;VERDADERO;FALSO;5;0,4;February;Online;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD155;Marco's Pizza;Phoenix, AZ;05/08/2024 13:30;05/08/2024 14:00;30;Medium;Non-Veg;4;5;High;Cash;FALSO;FALSO;6;0,8;August;Offline;12;18;FALSO;8;3;13;30,28645833;12,3
ORD591;Domino's;Boston, MA;27/05/2025 19:00;27/05/2025 19:50;50;Large;Non-Veg;4;10;High;Card;VERDADERO;FALSO;5;0,4;May;Online;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD621;Domino's;Boston, MA;26/06/2025 19:00;26/06/2025 19:50;50;Large;Non-Veg;4;10;High;Card;VERDADERO;FALSO;5;0,4;June;Online;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD681;Domino's;Boston, MA;25/08/2025 18:00;25/08/2025 18:35;35;Large;Non-Veg;4;6;Medium;Card;VERDADERO;FALSO;5,833333333;0,666666667;August;Online;14,4;20,6;VERDADERO;12;2;18;30,25943396;14,7
ORD032;Papa John's;Phoenix, AZ;02/02/2024 18:00;02/02/2024 18:25;25;Small;Vegan;2;2;Low;Cash;VERDADERO;FALSO;12,5;1;February;Offline;4,8;20,2;FALSO;2;1;18;28,18627451;7,7
ORD272;Domino's;Denver, CO;15/09/2024 20:00;15/09/2024 20:35;35;Medium;Veg;3;5,5;Medium;Card;VERDADERO;VERDADERO;6,363636364;0,545454545;September;Online;13,2;21,8;VERDADERO;6;2;20;30,25943396;10,6
ORD264;Domino's;Dallas, TX;17/09/2024 19:45;17/09/2024 20:10;25;XL;Cheese Burst;5;4,5;Medium;UPI;VERDADERO;FALSO;5,555555556;1,111111111;September;Online;10,8;14,2;FALSO;20;2;19;30,25943396;17,5
ORD136;Domino's;San Jose, CA;11/08/2024 18:00;11/08/2024 18:20;20;Medium;Veg;2;3;Low;UPI;VERDADERO;VERDADERO;6,666666667;0,666666667;August;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD267;Domino's;San Jose, CA;10/09/2024 18:00;10/09/2024 18:20;20;Medium;Veg;2;3;Low;Cash;VERDADERO;FALSO;6,666666667;0,666666667;September;Offline;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD317;Domino's;San Jose, CA;05/09/2024 18:00;05/09/2024 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;September;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD347;Domino's;San Jose, CA;05/10/2024 18:00;05/10/2024 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;VERDADERO;6,666666667;0,666666667;October;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD373;Domino's;San Jose, CA;31/10/2024 18:00;31/10/2024 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;October;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD399;Domino's;San Jose, CA;26/11/2024 18:00;26/11/2024 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;November;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD435;Domino's;San Jose, CA;22/12/2024 18:00;22/12/2024 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;VERDADERO;6,666666667;0,666666667;December;Online;7,2;12,8;FALSO;4;1;18;30,25943396;9,9
ORD494;Papa John's;Omaha, NE;19/02/2025 20:00;19/02/2025 20:35;35;Medium;Gluten-Free;3;5,5;Medium;Wallet;VERDADERO;FALSO;6,363636364;0,545454545;February;Online;13,2;21,8;VERDADERO;6;2;20;28,18627451;11,1
ORD698;Papa John's;Omaha, NE;11/09/2025 20:15;11/09/2025 20:45;30;Medium;Gluten-Free;3;5;Medium;UPI;VERDADERO;FALSO;6;0,6;September;Online;12;18;FALSO;6;2;20;28,18627451;11,1
ORD703;Papa John's;Omaha, NE;16/09/2025 20:30;16/09/2025 21:00;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;September;Online;12;18;FALSO;6;2;20;28,18627451;11,1
ORD708;Papa John's;Omaha, NE;21/09/2025 20:45;21/09/2025 21:15;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;VERDADERO;6;0,6;September;Online;12;18;FALSO;6;2;20;28,18627451;11,1
ORD713;Papa John's;Omaha, NE;26/09/2025 18:00;26/09/2025 18:30;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;September;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD718;Papa John's;Omaha, NE;01/10/2025 18:30;01/10/2025 19:00;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD723;Papa John's;Omaha, NE;06/10/2025 18:45;06/10/2025 19:15;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD726;Papa John's;Omaha, NE;09/10/2025 20:30;09/10/2025 21:00;30;Medium;Gluten-Free;3;5;Medium;UPI;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;20;28,18627451;11,1
ORD731;Papa John's;Omaha, NE;14/10/2025 18:45;14/10/2025 19:15;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD736;Papa John's;Omaha, NE;19/10/2025 18:00;19/10/2025 18:30;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;VERDADERO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD741;Papa John's;Omaha, NE;24/10/2025 18:30;24/10/2025 19:00;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD746;Papa John's;Omaha, NE;29/10/2025 18:45;29/10/2025 19:15;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;October;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD751;Papa John's;Omaha, NE;03/11/2025 18:00;03/11/2025 18:30;30;Medium;Gluten-Free;3;5;Medium;Card;VERDADERO;FALSO;6;0,6;November;Online;12;18;FALSO;6;2;18;28,18627451;11,1
ORD549;Domino's;Chicago, IL;15/04/2025 20:15;15/04/2025 21:00;45;Large;Veg;4;9;High;Cash;VERDADERO;FALSO;5;0,444444444;April;Offline;21,6;23,4;VERDADERO;12;3;20;30,25943396;13,7
ORD005;Marco's Pizza;Dallas, TX;05/05/2024 13:00;05/05/2024 13:20;20;Medium;Non-Veg;3;2;High;Card;FALSO;VERDADERO;10;1,5;May;Online;4,8;15,2;FALSO;6;3;13;30,28645833;11,6
ORD010;Marco's Pizza;Dallas, TX;10/01/2024 13:00;10/01/2024 13:20;20;Medium;Non-Veg;3;3,5;Medium;Card;FALSO;FALSO;5,714285714;0,857142857;January;Online;8,4;11,6;FALSO;6;2;13;30,28645833;11,6
ORD469;Marco's Pizza;Dallas, TX;25/01/2025 18:00;25/01/2025 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;VERDADERO;7,5;0,75;January;Online;9,6;20,4;FALSO;6;2;18;30,28645833;11,6
ORD548;Marco's Pizza;Portland, OR;14/04/2025 18:00;14/04/2025 18:30;30;Medium;Non-Veg;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;April;Online;9,6;20,4;FALSO;6;2;18;30,28645833;11,6
ORD652;Papa John's;Detroit, MI;27/07/2025 20:45;27/07/2025 21:15;30;Medium;Veg;2;3,5;Low;Card;VERDADERO;VERDADERO;8,571428571;0,571428571;July;Online;8,4;21,6;FALSO;4;1;20;28,18627451;9,9
ORD503;Domino's;Tampa, FL;28/02/2025 19:00;28/02/2025 19:50;50;Large;Non-Veg;4;10;High;Domino's Cash;VERDADERO;FALSO;5;0,4;February;Offline;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD517;Marco's Pizza;Boise, ID;14/03/2025 18:00;14/03/2025 18:20;20;Medium;Veg;2;3;Low;Card;VERDADERO;FALSO;6,666666667;0,666666667;March;Online;7,2;12,8;FALSO;4;1;18;30,28645833;9,9
ORD650;Marco's Pizza;Boston, MA;25/07/2025 18:15;25/07/2025 18:45;30;Medium;Thai Chicken;3;4;Medium;UPI;VERDADERO;FALSO;7,5;0,75;July;Online;9,6;20,4;FALSO;6;2;18;30,28645833;11,6
ORD017;Papa John's;Boston, MA;17/01/2024 18:30;17/01/2024 18:55;25;Small;Vegan;2;2;Low;Wallet;VERDADERO;FALSO;12,5;1;January;Online;4,8;20,2;FALSO;2;1;18;28,18627451;7,7
ORD042;Papa John's;Boston, MA;12/02/2024 20:15;12/02/2024 20:40;25;Small;Vegan;2;2;Medium;Cash;VERDADERO;FALSO;12,5;1;February;Offline;4,8;20,2;FALSO;2;2;20;28,18627451;7,7
ORD062;Papa John's;Boston, MA;03/03/2024 20:15;03/03/2024 20:40;25;Small;Vegan;2;2;Medium;Cash;VERDADERO;VERDADERO;12,5;1;March;Offline;4,8;20,2;FALSO;2;2;20;28,18627451;7,7
ORD082;Papa John's;Boston, MA;23/03/2024 20:15;23/03/2024 20:40;25;Small;Vegan;2;2;High;Card;VERDADERO;VERDADERO;12,5;1;March;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD112;Papa John's;Boston, MA;22/04/2024 20:15;22/04/2024 20:40;25;Small;Vegan;2;2;High;Card;VERDADERO;FALSO;12,5;1;April;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD162;Papa John's;Boston, MA;12/08/2024 20:00;12/08/2024 20:30;30;Small;Vegan;2;4,5;Low;Card;VERDADERO;FALSO;6,666666667;0,444444444;August;Online;10,8;19,2;FALSO;2;1;20;28,18627451;7,7
ORD172;Papa John's;Boston, MA;22/08/2024 20:00;22/08/2024 20:30;30;Small;Vegan;2;4,5;Medium;Card;VERDADERO;FALSO;6,666666667;0,444444444;August;Online;10,8;19,2;FALSO;2;2;20;28,18627451;7,7
ORD177;Papa John's;Boston, MA;22/06/2024 20:15;22/06/2024 20:40;25;Small;Vegan;2;2;High;Cash;VERDADERO;VERDADERO;12,5;1;June;Offline;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD192;Papa John's;Boston, MA;07/07/2024 20:15;07/07/2024 20:40;25;Small;Vegan;2;2;High;Wallet;VERDADERO;VERDADERO;12,5;1;July;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD212;Papa John's;Boston, MA;27/07/2024 20:15;27/07/2024 20:40;25;Small;Vegan;2;2;High;Wallet;VERDADERO;VERDADERO;12,5;1;July;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD240;Papa John's;Boston, MA;24/08/2024 20:15;24/08/2024 20:40;25;Small;Vegan;2;2;High;Wallet;VERDADERO;VERDADERO;12,5;1;August;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD250;Papa John's;Boston, MA;03/09/2024 20:15;03/09/2024 20:40;25;Small;Vegan;2;2;High;Wallet;VERDADERO;FALSO;12,5;1;September;Online;4,8;20,2;FALSO;2;3;20;28,18627451;7,7
ORD273;Papa John's;Boston, MA;16/09/2024 18:30;16/09/2024 18:50;20;Small;Vegan;2;2;Low;Wallet;VERDADERO;FALSO;10;1;September;Online;4,8;15,2;FALSO;2;1;18;28,18627451;7,7
ORD285;Papa John's;Boston, MA;22/09/2024 19:30;22/09/2024 19:55;25;Small;Vegan;2;4;High;Wallet;VERDADERO;VERDADERO;6,25;0,5;September;Online;9,6;15,4;FALSO;2;3;19;28,18627451;7,7
ORD295;Papa John's;Boston, MA;02/10/2024 20:15;02/10/2024 20:40;25;Small;Vegan;2;2,5;Medium;Wallet;VERDADERO;FALSO;10;0,8;October;Online;6;19;FALSO;2;2;20;28,18627451;7,7
ORD305;Papa John's;Boston, MA;12/10/2024 20:15;12/10/2024 20:40;25;Small;Vegan;2;2,5;Medium;Wallet;VERDADERO;VERDADERO;10;0,8;October;Online;6;19;FALSO;2;2;20;28,18627451;7,7
ORD456;Papa John's;Austin, TX;12/01/2025 18:45;12/01/2025 19:05;20;Small;Vegan;1;2,5;Low;Cash;VERDADERO;VERDADERO;8;0,4;January;Offline;6;14;FALSO;1;1;18;28,18627451;7,1
ORD552;Little Caesars;Phoenix, AZ;18/04/2025 20:30;18/04/2025 21:10;40;XL;Cheese Burst;5;8;High;Card;VERDADERO;FALSO;5;0,625;April;Online;19,2;20,8;VERDADERO;20;3;20;28,84422111;17,5
ORD475;Domino's;Charlotte, NC;31/01/2025 19:00;31/01/2025 19:50;50;Large;Non-Veg;4;10;High;Card;VERDADERO;FALSO;5;0,4;January;Online;24;26;VERDADERO;12;3;19;30,25943396;14,7
ORD047;Papa John's;Dallas, TX;17/02/2024 20:00;17/02/2024 20:25;25;Medium;Non-Veg;3;3;Low;Wallet;VERDADERO;VERDADERO;8,333333333;1;February;Online;7,2;17,8;FALSO;6;1;20;28,18627451;11,6
ORD067;Papa John's;Dallas, TX;08/03/2024 20:00;08/03/2024 20:25;25;Medium;Non-Veg;3;3,5;Medium;UPI;VERDADERO;FALSO;7,142857143;0,857142857;March;Online;8,4;16,6;FALSO;6;2;20;28,18627451;11,6
ORD087;Papa John's;Dallas, TX;28/03/2024 20:00;28/03/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;FALSO;8,333333333;1;March;Online;7,2;17,8;FALSO;6;1;20;28,18627451;11,6
ORD097;Papa John's;Dallas, TX;07/04/2024 20:00;07/04/2024 20:25;25;Medium;Non-Veg;3;3;Medium;UPI;VERDADERO;VERDADERO;8,333333333;1;April;Online;7,2;17,8;FALSO;6;2;20;28,18627451;11,6
ORD117;Papa John's;Dallas, TX;27/04/2024 20:00;27/04/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;VERDADERO;8,333333333;1;April;Online;7,2;17,8;FALSO;6;1;20;28,18627451;11,6
ORD197;Papa John's;Dallas, TX;12/07/2024 20:00;12/07/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;FALSO;8,333333333;1;July;Online;7,2;17,8;FALSO;6;1;20;28,18627451;11,6
ORD217;Papa John's;Dallas, TX;01/08/2024 20:00;01/08/2024 20:25;25;Medium;Non-Veg;3;3;Low;UPI;VERDADERO;FALSO;8,333333333;1;August;Online;7,2;17,8;FALSO;6;1;20;28,18627451;11,6
ORD472;Pizza Hut;Jacksonville, FL;28/01/2025 19:15;28/01/2025 19:45;30;Large;Non-Veg;4;6;Medium;Wallet;VERDADERO;FALSO;5;0,666666667;January;Online;14,4;15,6;FALSO;12;2;19;29,94845361;14,7
