Order ID;Restaurant Name;Location;Order Time;Delivery Time;Delivery Duration (min);Pizza Size;Pizza Type;Toppings Count;Distance (km);Traffic Level;Payment Method;Is Peak Hour;Is Weekend;Delivery Efficiency (min/km);Topping Density;Order Month;Payment Category;Estimated Duration (min);Delay (min);Is Delayed;Pizza Complexity;Traffic Impact;Order Hour;Restaurant Avg Time;Price ($);City;State
ORD030;Marco's Pizza;Miami, FL;30/01/2024 13:15;30/01/2024 13:35;20;Medium;Non-Veg;3;3.0;Medium;Card;FALSO;FALSO;6.666666667;1.0;January;Online;7.2;12.8;FALSO;6;2;13;30.28645833;11.6;Miami;FL
ORD055;Marco's Pizza;Miami, FL;25/02/2024 13:00;25/02/2024 13:20;20;Medium;Non-Veg;3;3.0;High;Wallet;FALSO;VERDADERO;6.666666667;1.0;February;Online;7.2;12.8;FALSO;6;3;13;30.28645833;11.6;Miami;FL
ORD075;Marco's Pizza;Miami, FL;16/03/2024 13:00;16/03/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;FALSO;VERDADERO;6.666666667;1.0;March;Online;7.2;12.8;FALSO;6;3;13;30.28645833;11.6;Miami;FL
ORD095;Marco's Pizza;Miami, FL;05/04/2024 13:00;05/04/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;FALSO;FALSO;6.666666667;1.0;April;Online;7.2;12.8;FALSO;6;3;13;30.28645833;11.6;Miami;FL
ORD105;Marco's Pizza;Miami, FL;15/04/2024 13:00;15/04/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;FALSO;FALSO;6.666666667;1.0;April;Online;7.2;12.8;FALSO;6;3;13;30.28645833;11.6;Miami;FL
ORD125;Marco's Pizza;Miami, FL;05/05/2024 13:00;05/05/2024 13:20;20;Medium;Non-Veg;3;3.0;High;UPI;FALSO;VERDADERO;6.666666667;1.0;May;Online;7.2;12.8;FALSO;6;3;13;30.28645833;11.6;Miami;FL
ORD185;Marco's Pizza;Miami, FL;30/06/2024 13:00;30/06/2024 13:20;20;Medium;Non-Veg;3;3.5;Low;Card;FALSO;VERDADERO;5.714285714;0.857142857;June;Online;8.4;11.6;FALSO;6;1;13;30.28645833;11.6;Miami;FL
ORD144;Little Caesars;San Francisco, CA;19/08/2024 18:00;19/08/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;August;Online;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD325;Little Caesars;San Francisco, CA;13/09/2024 18:00;13/09/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;Cash;VERDADERO;FALSO;7.5;0.75;September;Offline;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD355;Little Caesars;San Francisco, CA;13/10/2024 18:00;13/10/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;Cash;VERDADERO;VERDADERO;7.5;0.75;October;Offline;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD381;Little Caesars;San Francisco, CA;08/11/2024 18:00;08/11/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;November;Online;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD407;Little Caesars;San Francisco, CA;04/12/2024 18:00;04/12/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;December;Online;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD443;Little Caesars;San Francisco, CA;30/12/2024 18:00;30/12/2024 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;December;Online;9.6;20.4;FALSO;6;2;18;28.84422111;11.6;San Francisco;CA
ORD476;Papa John's;San Francisco, CA;01/02/2025 20:00;01/02/2025 20:35;35;Medium;Gluten-Free;3;5.5;Medium;Wallet;VERDADERO;VERDADERO;6.363636364;0.545454545;February;Online;13.2;21.8;VERDADERO;6;2;20;28.18627451;11.1;San Francisco;CA
ORD678;Papa John's;San Francisco, CA;22/08/2025 18:15;22/08/2025 18:50;35;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;7.0;0.6;August;Online;12.0;23.0;VERDADERO;6;2;18;28.18627451;11.1;San Francisco;CA
ORD682;Pizza Hut;Detroit, MI;26/08/2025 19:15;26/08/2025 19:45;30;Medium;Veg;2;4.0;Low;Wallet;VERDADERO;FALSO;7.5;0.5;August;Online;9.6;20.4;FALSO;4;1;19;29.94845361;9.9;Detroit;MI
ORD024;Pizza Hut;Phoenix, AZ;24/01/2024 18:15;24/01/2024 18:40;25;XL;Cheese Burst;5;4.0;Medium;Cash;VERDADERO;FALSO;6.25;1.25;January;Offline;9.6;15.4;FALSO;20;2;18;29.94845361;17.5;Phoenix;AZ
ORD049;Pizza Hut;Phoenix, AZ;19/02/2024 20:30;19/02/2024 20:55;25;XL;Cheese Burst;5;4.5;High;UPI;VERDADERO;FALSO;5.555555556;1.111111111;February;Online;10.8;14.2;FALSO;20;3;20;29.94845361;17.5;Phoenix;AZ
ORD069;Pizza Hut;Phoenix, AZ;10/03/2024 19:45;10/03/2024 20:10;25;XL;Cheese Burst;5;4.5;High;Wallet;VERDADERO;VERDADERO;5.555555556;1.111111111;March;Online;10.8;14.2;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD089;Pizza Hut;Phoenix, AZ;30/03/2024 19:45;30/03/2024 20:10;25;XL;Cheese Burst;5;4.5;High;Wallet;VERDADERO;VERDADERO;5.555555556;1.111111111;March;Online;10.8;14.2;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD099;Pizza Hut;Phoenix, AZ;09/04/2024 19:45;09/04/2024 20:10;25;XL;Cheese Burst;5;4.0;High;Wallet;VERDADERO;FALSO;6.25;1.25;April;Online;9.6;15.4;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD119;Pizza Hut;Phoenix, AZ;29/04/2024 19:45;29/04/2024 20:10;25;XL;Cheese Burst;5;4.5;High;Wallet;VERDADERO;FALSO;5.555555556;1.111111111;April;Online;10.8;14.2;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD199;Pizza Hut;Phoenix, AZ;14/07/2024 19:45;14/07/2024 20:10;25;XL;Cheese Burst;5;4.5;High;Wallet;VERDADERO;VERDADERO;5.555555556;1.111111111;July;Online;10.8;14.2;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD219;Pizza Hut;Phoenix, AZ;03/08/2024 19:45;03/08/2024 20:10;25;XL;Cheese Burst;5;4.5;High;Wallet;VERDADERO;VERDADERO;5.555555556;1.111111111;August;Online;10.8;14.2;FALSO;20;3;19;29.94845361;17.5;Phoenix;AZ
ORD145;Marco's Pizza;Charlotte, NC;20/08/2024 20:15;20/08/2024 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;FALSO;5.0;0.444444444;August;Offline;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD326;Marco's Pizza;Charlotte, NC;14/09/2024 20:15;14/09/2024 21:00;45;Large;Veg;4;9.0;High;Wallet;VERDADERO;VERDADERO;5.0;0.444444444;September;Online;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD356;Marco's Pizza;Charlotte, NC;14/10/2024 20:15;14/10/2024 21:00;45;Large;Veg;4;9.0;High;Wallet;VERDADERO;FALSO;5.0;0.444444444;October;Online;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD382;Marco's Pizza;Charlotte, NC;09/11/2024 20:15;09/11/2024 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;VERDADERO;5.0;0.444444444;November;Offline;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD408;Marco's Pizza;Charlotte, NC;05/12/2024 20:15;05/12/2024 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;FALSO;5.0;0.444444444;December;Offline;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD444;Marco's Pizza;Charlotte, NC;31/12/2024 20:15;31/12/2024 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;FALSO;5.0;0.444444444;December;Offline;21.6;23.4;VERDADERO;12;3;20;30.28645833;13.7;Charlotte;NC
ORD261;Domino's;Miami, FL;14/09/2024 19:00;14/09/2024 19:20;20;Medium;Non-Veg;3;3.0;Medium;Cash;VERDADERO;VERDADERO;6.666666667;1.0;September;Offline;7.2;12.8;FALSO;6;2;19;30.25943396;11.6;Miami;FL
ORD543;Pizza Hut;Durham, NC;09/04/2025 18:30;09/04/2025 18:50;20;Small;Vegan;2;2.0;Low;UPI;VERDADERO;FALSO;10.0;1.0;April;Online;4.8;15.2;FALSO;2;1;18;29.94845361;7.7;Durham;NC
ORD676;Domino's;Indianapolis, IN;20/08/2025 20:30;20/08/2025 21:00;30;Large;Sicilian;4;5.5;Medium;UPI;VERDADERO;FALSO;5.454545455;0.727272727;August;Online;13.2;16.8;FALSO;12;2;20;30.25943396;14.2;Indianapolis;IN
ORD493;Domino's;Atlanta, GA;18/02/2025 19:00;18/02/2025 19:50;50;Large;Non-Veg;4;10.0;High;Card;VERDADERO;FALSO;5.0;0.4;February;Online;24.0;26.0;VERDADERO;12;3;19;30.25943396;14.7;Atlanta;GA
ORD155;Marco's Pizza;Phoenix, AZ;05/08/2024 13:30;05/08/2024 14:00;30;Medium;Non-Veg;4;5.0;High;Cash;FALSO;FALSO;6.0;0.8;August;Offline;12.0;18.0;FALSO;8;3;13;30.28645833;12.3;Phoenix;AZ
ORD591;Domino's;Boston, MA;27/05/2025 19:00;27/05/2025 19:50;50;Large;Non-Veg;4;10.0;High;Card;VERDADERO;FALSO;5.0;0.4;May;Online;24.0;26.0;VERDADERO;12;3;19;30.25943396;14.7;Boston;MA
ORD621;Domino's;Boston, MA;26/06/2025 19:00;26/06/2025 19:50;50;Large;Non-Veg;4;10.0;High;Card;VERDADERO;FALSO;5.0;0.4;June;Online;24.0;26.0;VERDADERO;12;3;19;30.25943396;14.7;Boston;MA
ORD681;Domino's;Boston, MA;25/08/2025 18:00;25/08/2025 18:35;35;Large;Non-Veg;4;6.0;Medium;Card;VERDADERO;FALSO;5.833333333;0.666666667;August;Online;14.4;20.6;VERDADERO;12;2;18;30.25943396;14.7;Boston;MA
ORD032;Papa John's;Phoenix, AZ;02/02/2024 18:00;02/02/2024 18:25;25;Small;Vegan;2;2.0;Low;Cash;VERDADERO;FALSO;12.5;1.0;February;Offline;4.8;20.2;FALSO;2;1;18;28.18627451;7.7;Phoenix;AZ
ORD272;Domino's;Denver, CO;15/09/2024 20:00;15/09/2024 20:35;35;Medium;Veg;3;5.5;Medium;Card;VERDADERO;VERDADERO;6.363636364;0.545454545;September;Online;13.2;21.8;VERDADERO;6;2;20;30.25943396;10.6;Denver;CO
ORD264;Domino's;Dallas, TX;17/09/2024 19:45;17/09/2024 20:10;25;XL;Cheese Burst;5;4.5;Medium;UPI;VERDADERO;FALSO;5.555555556;1.111111111;September;Online;10.8;14.2;FALSO;20;2;19;30.25943396;17.5;Dallas;TX
ORD136;Domino's;San Jose, CA;11/08/2024 18:00;11/08/2024 18:20;20;Medium;Veg;2;3.0;Low;UPI;VERDADERO;VERDADERO;6.666666667;0.666666667;August;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD267;Domino's;San Jose, CA;10/09/2024 18:00;10/09/2024 18:20;20;Medium;Veg;2;3.0;Low;Cash;VERDADERO;FALSO;6.666666667;0.666666667;September;Offline;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD317;Domino's;San Jose, CA;05/09/2024 18:00;05/09/2024 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;September;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD347;Domino's;San Jose, CA;05/10/2024 18:00;05/10/2024 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;VERDADERO;6.666666667;0.666666667;October;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD373;Domino's;San Jose, CA;31/10/2024 18:00;31/10/2024 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;October;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD399;Domino's;San Jose, CA;26/11/2024 18:00;26/11/2024 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;November;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD435;Domino's;San Jose, CA;22/12/2024 18:00;22/12/2024 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;VERDADERO;6.666666667;0.666666667;December;Online;7.2;12.8;FALSO;4;1;18;30.25943396;9.9;San Jose;CA
ORD494;Papa John's;Omaha, NE;19/02/2025 20:00;19/02/2025 20:35;35;Medium;Gluten-Free;3;5.5;Medium;Wallet;VERDADERO;FALSO;6.363636364;0.545454545;February;Online;13.2;21.8;VERDADERO;6;2;20;28.18627451;11.1;Omaha;NE
ORD698;Papa John's;Omaha, NE;11/09/2025 20:15;11/09/2025 20:45;30;Medium;Gluten-Free;3;5.0;Medium;UPI;VERDADERO;FALSO;6.0;0.6;September;Online;12.0;18.0;FALSO;6;2;20;28.18627451;11.1;Omaha;NE
ORD703;Papa John's;Omaha, NE;16/09/2025 20:30;16/09/2025 21:00;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;September;Online;12.0;18.0;FALSO;6;2;20;28.18627451;11.1;Omaha;NE
ORD708;Papa John's;Omaha, NE;21/09/2025 20:45;21/09/2025 21:15;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;VERDADERO;6.0;0.6;September;Online;12.0;18.0;FALSO;6;2;20;28.18627451;11.1;Omaha;NE
ORD713;Papa John's;Omaha, NE;26/09/2025 18:00;26/09/2025 18:30;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;September;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD718;Papa John's;Omaha, NE;01/10/2025 18:30;01/10/2025 19:00;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD723;Papa John's;Omaha, NE;06/10/2025 18:45;06/10/2025 19:15;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD726;Papa John's;Omaha, NE;09/10/2025 20:30;09/10/2025 21:00;30;Medium;Gluten-Free;3;5.0;Medium;UPI;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;20;28.18627451;11.1;Omaha;NE
ORD731;Papa John's;Omaha, NE;14/10/2025 18:45;14/10/2025 19:15;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD736;Papa John's;Omaha, NE;19/10/2025 18:00;19/10/2025 18:30;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;VERDADERO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD741;Papa John's;Omaha, NE;24/10/2025 18:30;24/10/2025 19:00;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD746;Papa John's;Omaha, NE;29/10/2025 18:45;29/10/2025 19:15;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;October;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD751;Papa John's;Omaha, NE;03/11/2025 18:00;03/11/2025 18:30;30;Medium;Gluten-Free;3;5.0;Medium;Card;VERDADERO;FALSO;6.0;0.6;November;Online;12.0;18.0;FALSO;6;2;18;28.18627451;11.1;Omaha;NE
ORD549;Domino's;Chicago, IL;15/04/2025 20:15;15/04/2025 21:00;45;Large;Veg;4;9.0;High;Cash;VERDADERO;FALSO;5.0;0.444444444;April;Offline;21.6;23.4;VERDADERO;12;3;20;30.25943396;13.7;Chicago;IL
ORD005;Marco's Pizza;Dallas, TX;05/05/2024 13:00;05/05/2024 13:20;20;Medium;Non-Veg;3;2.0;High;Card;FALSO;VERDADERO;10.0;1.5;May;Online;4.8;15.2;FALSO;6;3;13;30.28645833;11.6;Dallas;TX
ORD010;Marco's Pizza;Dallas, TX;10/01/2024 13:00;10/01/2024 13:20;20;Medium;Non-Veg;3;3.5;Medium;Card;FALSO;FALSO;5.714285714;0.857142857;January;Online;8.4;11.6;FALSO;6;2;13;30.28645833;11.6;Dallas;TX
ORD469;Marco's Pizza;Dallas, TX;25/01/2025 18:00;25/01/2025 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;VERDADERO;7.5;0.75;January;Online;9.6;20.4;FALSO;6;2;18;30.28645833;11.6;Dallas;TX
ORD548;Marco's Pizza;Portland, OR;14/04/2025 18:00;14/04/2025 18:30;30;Medium;Non-Veg;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;April;Online;9.6;20.4;FALSO;6;2;18;30.28645833;11.6;Portland;OR
ORD652;Papa John's;Detroit, MI;27/07/2025 20:45;27/07/2025 21:15;30;Medium;Veg;2;3.5;Low;Card;VERDADERO;VERDADERO;8.571428571;0.571428571;July;Online;8.4;21.6;FALSO;4;1;20;28.18627451;9.9;Detroit;MI
ORD503;Domino's;Tampa, FL;28/02/2025 19:00;28/02/2025 19:50;50;Large;Non-Veg;4;10.0;High;Domino's Cash;VERDADERO;FALSO;5.0;0.4;February;Offline;24.0;26.0;VERDADERO;12;3;19;30.25943396;14.7;Tampa;FL
ORD517;Marco's Pizza;Boise, ID;14/03/2025 18:00;14/03/2025 18:20;20;Medium;Veg;2;3.0;Low;Card;VERDADERO;FALSO;6.666666667;0.666666667;March;Online;7.2;12.8;FALSO;4;1;18;30.28645833;9.9;Boise;ID
ORD650;Marco's Pizza;Boston, MA;25/07/2025 18:15;25/07/2025 18:45;30;Medium;Thai Chicken;3;4.0;Medium;UPI;VERDADERO;FALSO;7.5;0.75;July;Online;9.6;20.4;FALSO;6;2;18;30.28645833;11.6;Boston;MA
ORD017;Papa John's;Boston, MA;17/01/2024 18:30;17/01/2024 18:55;25;Small;Vegan;2;2.0;Low;Wallet;VERDADERO;FALSO;12.5;1.0;January;Online;4.8;20.2;FALSO;2;1;18;28.18627451;7.7;Boston;MA
ORD042;Papa John's;Boston, MA;12/02/2024 20:15;12/02/2024 20:40;25;Small;Vegan;2;2.0;Medium;Cash;VERDADERO;FALSO;12.5;1.0;February;Offline;4.8;20.2;FALSO;2;2;20;28.18627451;7.7;Boston;MA
ORD062;Papa John's;Boston, MA;03/03/2024 20:15;03/03/2024 20:40;25;Small;Vegan;2;2.0;Medium;Cash;VERDADERO;VERDADERO;12.5;1.0;March;Offline;4.8;20.2;FALSO;2;2;20;28.18627451;7.7;Boston;MA
ORD082;Papa John's;Boston, MA;23/03/2024 20:15;23/03/2024 20:40;25;Small;Vegan;2;2.0;High;Card;VERDADERO;VERDADERO;12.5;1.0;March;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD112;Papa John's;Boston, MA;22/04/2024 20:15;22/04/2024 20:40;25;Small;Vegan;2;2.0;High;Card;VERDADERO;FALSO;12.5;1.0;April;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD162;Papa John's;Boston, MA;12/08/2024 20:00;12/08/2024 20:30;30;Small;Vegan;2;4.5;Low;Card;VERDADERO;FALSO;6.666666667;0.444444444;August;Online;10.8;19.2;FALSO;2;1;20;28.18627451;7.7;Boston;MA
ORD172;Papa John's;Boston, MA;22/08/2024 20:00;22/08/2024 20:30;30;Small;Vegan;2;4.5;Medium;Card;VERDADERO;FALSO;6.666666667;0.444444444;August;Online;10.8;19.2;FALSO;2;2;20;28.18627451;7.7;Boston;MA
ORD177;Papa John's;Boston, MA;22/06/2024 20:15;22/06/2024 20:40;25;Small;Vegan;2;2.0;High;Cash;VERDADERO;VERDADERO;12.5;1.0;June;Offline;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD192;Papa John's;Boston, MA;07/07/2024 20:15;07/07/2024 20:40;25;Small;Vegan;2;2.0;High;Wallet;VERDADERO;VERDADERO;12.5;1.0;July;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD212;Papa John's;Boston, MA;27/07/2024 20:15;27/07/2024 20:40;25;Small;Vegan;2;2.0;High;Wallet;VERDADERO;VERDADERO;12.5;1.0;July;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD240;Papa John's;Boston, MA;24/08/2024 20:15;24/08/2024 20:40;25;Small;Vegan;2;2.0;High;Wallet;VERDADERO;VERDADERO;12.5;1.0;August;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD250;Papa John's;Boston, MA;03/09/2024 20:15;03/09/2024 20:40;25;Small;Vegan;2;2.0;High;Wallet;VERDADERO;FALSO;12.5;1.0;September;Online;4.8;20.2;FALSO;2;3;20;28.18627451;7.7;Boston;MA
ORD273;Papa John's;Boston, MA;16/09/2024 18:30;16/09/2024 18:50;20;Small;Vegan;2;2.0;Low;Wallet;VERDADERO;FALSO;10.0;1.0;September;Online;4.8;15.2;FALSO;2;1;18;28.18627451;7.7;Boston;MA
ORD285;Papa John's;Boston, MA;22/09/2024 19:30;22/09/2024 19:55;25;Small;Vegan;2;4.0;High;Wallet;VERDADERO;VERDADERO;6.25;0.5;September;Online;9.6;15.4;FALSO;2;3;19;28.18627451;7.7;Boston;MA
ORD295;Papa John's;Boston, MA;02/10/2024 20:15;02/10/2024 20:40;25;Small;Vegan;2;2.5;Medium;Wallet;VERDADERO;FALSO;10.0;0.8;October;Online;6.0;19.0;FALSO;2;2;20;28.18627451;7.7;Boston;MA
ORD305;Papa John's;Boston, MA;12/10/2024 20:15;12/10/2024 20:40;25;Small;Vegan;2;2.5;Medium;Wallet;VERDADERO;VERDADERO;10.0;0.8;October;Online;6.0;19.0;FALSO;2;2;20;28.18627451;7.7;Boston;MA
ORD456;Papa John's;Austin, TX;12/01/2025 18:45;12/01/2025 19:05;20;Small;Vegan;1;2.5;Low;Cash;VERDADERO;VERDADERO;8.0;0.4;January;Offline;6.0;14.0;FALSO;1;1;18;28.18627451;7.1;Austin;TX
